77409
3,4,5
3,5,4
20,21,34
20,21,35
20,29,24
20,29,25
20,29,26
20,29,34
20,29,35
20,32,24
20,32,26
20,32,33
21,22,23
21,22,24
21,27,23
21,27,24
21,27,25
21,30,24
21,31,23
21,32,23
21,32,24
21,34,23
21,34,24
21,34,25
21,34,35
21,35,25
22,23,28
22,23,29
22,24,26
22,24,27
22,24,28
22,28,26
22,28,27
22,30,28
22,30,29
22,32,26
23,25,24
23,25,27
23,25,29
23,25,31
23,25,32
23,25,34
23,28,24
23,28,25
23,28,27
23,28,31
23,28,33
23,29,24
23,29,25
23,29,34
23,31,27
23,31,29
23,31,32
23,31,34
23,32,24
23,32,33
23,35,25
23,35,34
24,25,26
24,25,27
24,25,29
24,25,32
24,25,34
24,26,25
24,26,27
24,26,28
24,26,33
24,27,25
24,27,26
24,27,29
24,27,30
24,27,32
24,27,33
24,27,34
24,28,25
24,28,26
24,28,27
24,28,33
24,31,27
24,31,28
24,31,29
24,31,30
24,31,32
24,31,34
24,33,27
24,33,30
24,33,32
24,33,34
24,35,25
24,35,28
24,35,34
25,26,27
25,26,28
25,27,26
25,27,29
25,27,34
25,29,26
25,29,34
25,29,35
25,31,27
25,31,28
25,31,29
25,31,34
25,32,26
25,34,27
25,34,29
25,34,35
26,27,29
26,27,32
26,28,27
26,31,27
26,31,28
26,31,29
26,31,32
26,33,27
26,33,32
27,29,34
27,30,28
27,30,33
27,30,34
27,31,28
27,31,34
27,32,33
27,33,31
27,33,34
28,31,30
28,33,30
28,33,31
29,30,34
29,34,30
29,35,34
30,33,31
30,33,34
31,32,33
32,33,34
34,35,37
34,35,40
34,38,37
34,38,39
34,38,40
34,39,35
34,39,40
34,40,35
34,41,35
34,41,37
35,36,40
35,36,41
35,37,39
35,37,41
35,38,37
35,38,39
35,38,40
35,38,41
35,40,36
35,40,41
35,41,36
35,41,37
36,40,41
37,39,38
37,39,41
37,41,38
38,39,40
38,39,41
38,40,41
41,42,43
41,42,47
41,43,44
41,43,47
41,44,43
41,44,47
41,46,43
41,46,47
41,47,43
41,47,44
42,43,45
42,43,46
42,43,47
42,46,43
42,46,45
42,46,47
42,47,43
42,47,46
43,44,45
43,44,46
43,44,47
43,45,44
43,45,46
43,45,47
43,46,45
43,46,47
43,47,44
43,47,46
44,45,47
44,46,45
44,46,47
45,47,46
20,21,22
20,21,22
20,21,27
20,21,27
20,21,27
20,21,27
20,21,27
20,21,27
20,21,30
20,21,30
20,21,30
20,21,30
20,21,30
20,21,31
20,21,31
20,21,31
20,21,32
20,21,32
20,21,32
20,21,34
20,21,34
20,21,34
20,21,34
20,21,35
20,21,35
20,21,35
20,29,22
20,29,22
20,29,23
20,29,23
20,29,23
20,29,23
20,29,24
20,29,24
20,29,24
20,29,24
20,29,24
20,29,24
20,29,25
20,29,25
20,29,25
20,29,25
20,29,26
20,29,26
20,29,26
20,29,26
20,29,30
20,29,30
20,29,30
20,29,30
20,29,34
20,29,34
20,29,34
20,29,35
20,29,35
20,29,35
20,29,35
20,32,23
20,32,23
20,32,23
20,32,23
20,32,23
20,32,24
20,32,24
20,32,24
20,32,24
20,32,24
20,32,24
20,32,26
20,32,26
20,32,26
20,32,26
20,32,33
20,32,33
21,22,23
21,22,23
21,22,24
21,22,24
21,22,24
21,22,28
21,22,28
21,22,28
21,22,30
21,22,32
21,22,32
21,27,22
21,27,22
21,27,23
21,27,23
21,27,24
21,27,24
21,27,24
21,27,25
21,27,25
21,27,26
21,27,26
21,27,29
21,27,29
21,27,29
21,27,29
21,27,30
21,27,31
21,27,32
21,27,32
21,27,33
21,27,33
21,27,34
21,27,34
21,27,34
21,27,34
21,30,24
21,30,24
21,30,24
21,30,28
21,30,28
21,30,28
21,30,29
21,30,29
21,30,29
21,30,29
21,30,33
21,30,33
21,30,34
21,30,34
21,30,34
21,30,34
21,31,23
21,31,23
21,31,27
21,31,27
21,31,27
21,31,28
21,31,28
21,31,28
21,31,29
21,31,29
21,31,29
21,31,29
21,31,30
21,31,32
21,31,32
21,31,34
21,31,34
21,31,34
21,31,34
21,32,23
21,32,23
21,32,24
21,32,24
21,32,24
21,32,26
21,32,26
21,32,33
21,32,33
21,34,23
21,34,23
21,34,24
21,34,24
21,34,24
